ide,ident,libelle,obs1,obs2,ident,perimetre,adr1,adr2,codepostal,ville,tel,nom1,prenom1,tel1,poste1,nbclasses,nbplaces,nbinscrits,libelle1,libelle2,pair,pairdebut,pairfin,impair,impairdebut,impairfin,ident,libelle1,motdirec,pairdebutbis,pairfinbis,impairdebutbis,impairfinbis,etablissement,rue
175,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,7196G,PASSAGE DES PETITS CLOS,CLOS,,,,,21,165
176,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,7 195 F,IMPASSE DES PETITS CLOS,CLOS,,,,,21,227
177,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,1516H,PASSAGE DES CLOSEAUX,CLOSEAUX,,,,,21,41
178,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,1550V,RUE DES COUVALOUX,COUVALOUX,,,,,21,49
179,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,7210X,RUE PIERRE DUPONT,DUPONT,,,,,21,166
180,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,3520L,RUE FERNAND FOREST,FOREST,,,,,21,71
181,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,4145R,RUE GARIBALDI,GARIBALDI,,,,,21,86
182,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,6108Z,AVENUE DU MARECHAL JUIN,JUIN,,,,,21,133
183,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,7214B,PASSAGE PIERRE LOTI,LOTI,,,,,21,167
184,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,6175X,RUE DES MOULINEAUX,MOULINEAUX,,,,,21,148
185,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,P,16,9999,S,,,9611G,RUE DU VAL D OR,OR,,,,,21,210
186,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,9 610 F,PASSAGE DU VAL D OR,OR,,,,,21,211
187,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,4 435 F,RUE HENRI REGNAULT,REGNAULT,,,,,21,264
188,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,2,30,T,1,45,4730B,RUE JEAN JACQUES ROUSSEAU,ROUSSEAU,,,,,21,265
189,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,8820X,RUE DE SAINT CLOUD,SAINT-CLOUD,,,,,21,245
190,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,S,,,P,17,139,4440L,BOULEVARD HENRI SELLIER,SELLIER,,,,B,21,99
191,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,8540T,RUE DE SEVRES,SEVRES,,,,,21,195
192,MOULOUDJI,Périmètre Marcel Mouloudji,,,M/MO,13,10/12 RUE DE SEVRES,,92150,SURESNES,01 41 44 83 86,BARBARRE,Valérie,,,5,150,110,Maternelle Marcel Mouloudji,,T,,,T,,,65 F,RUE DE L AMIRAL WILLAUMEZ,WILLAUMEZ,,,,,21,6
193,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,0657Z,ALLEE DES BERGERONNETTES,BERGERONNETTES,,,,,19,19
194,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,9130J,RUE DES TERRES BLANCHES,BLANCHES,,,,,19,250
195,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,S,,,P,1,9999,1410T,RUE DU CALVAIRE,CALVAIRE,,,,,19,253
196,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,1430P,RUE DES CARRIERES,CARRIERES,,,,,19,27
197,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,S,,,S,,,1440A,RUE DE LA CERISAIE,CERISAIE,,,,,19,28
198,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,1520M,RUE CLUSERET,CLUSERET,,,,,19,42
199,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,1 560 F,AVENUE DE LA CRIOLLA,CRIOLLA,,,,,19,50
200,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,9645U,RUE VICTOR DIEDERICH,DIEDERICH,,,,,19,215
201,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,0100U,RUE ARTHEME GENTEUR,GENTEUR,,,,,19,239
202,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,8570A,IMP SOMMELIERS DE LA GROUE,GROUE,,,,,19,196
203,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,4455C,CHEMIN DES HOCQUETTES,HOCQUETTES,,,,,19,101
204,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,4461J,DOMAINE DES HOCQUETTES,HOCQUETTES,,,,,19,102
205,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,5115V,AVENUE DES LANDES,LANDES,,,,,19,117
206,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,5150H,ALLEE DES LILAS,LILAS,,,,,19,122
207,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,SU07E,RUE DE LA GARE DE LONGCHAMP,LONGCHAMP,,,,,19,84
208,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,8593A,GARE SURESNES LONGCHAMP,LONGCHAMP,,,,,19,226
209,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,6167N,CHEMIN DE LA MOTTE,MOTTE,,,,,19,145
210,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,P,2,70,P,1,53,6660Z,RUE DES NOUVELLES,NOUVELLES,,,,,19,249
211,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,SU16E,ALLEE DES OLIVIERS,OLIVIERS,,,,,19,151
212,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,7125E,PASSAGE DU PANORAMA,PANORAMA,,,,,19,155
213,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,7150G,RUE DU PAS SAINT MAURICE,PAS-SAINT-MAURICE,,,,,19,158
214,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,7185V,ALLEE DE LA PEPINIERE,PEPINIERE,,,,,19,164
215,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,7235Z,RUE DU POINT HAUT,POINT-HAUT,,,,,19,170
216,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,P,58,9998,S,,,7270M,RUE DE LA PROCESSION,PROCESSION,,,,,19,243
217,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,8110A,RUE DES RAGUIDELLES,RAGUIDELLES,,,,,19,180
218,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,0680Z,RUE DES BONS RAISINS,RAISINS,,,,,19,22
219,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,S,32,52,S,19,43,2540W,RUE DESBASSAYNS DE RICHEMONT,RICHEMONT,,,,,19,251
220,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,8150U,CHEMIN DES ROSES,ROSES,,,,,19,186
221,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,2560T,RUE DU DOCTEUR EMILE ROUX,ROUX,,,,,19,58
222,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,SU22E,IMPASSE SAINT MAURICE,SAINT-MAURICE,,,,,19,189
223,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,P,52,9998,P,141,9999,4440L,BOULEVARD HENRI SELLIER,SELLIER,,,,,19,99
224,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,0635A,ALLEE DU BEAU SITE,SITE,,,,,19,14
225,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,6110B,BD MARECHAL DE LATTRE DE TASS,TASS.,,,,,19,131
226,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,9135P,RUE DU TERTRE,TERTRE,,,,,19,205
227,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,3549T,AV DE LA FONTAINE DU TERTRE,TERTRE,,,,,19,74
228,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,9 150 F,RUE DES TOURNEROCHES,TOURNEROCHES,,,,,19,222
229,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,P,2,12,P,1,9,9185U,RUE DE LA TUILERIE,TUILERIE,,,,,19,209
230,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,9654D,IMPASSE DES VIGNERONS,VIGNERONS,,,,,19,43
231,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,9655E,RUE DES VIGNES,VIGNES,,,,,19,216
232,RAGUIDELLE,Périmètre Raguidelles,,,E/RA,6,5/19 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 45 06 65 51,TOUSSAINT,Thierry,01 45 06 65 51,,15,405,385,Elémentaire des Raguidelles,,T,,,T,,,9940P,RUE WORTH,WORTH,,,,,19,221
233,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,0657Z,ALLEE DES BERGERONNETTES,BERGERONNETTES,,,,,18,19
234,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,9130J,RUE DES TERRES BLANCHES,BLANCHES,,,,,18,250
235,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,S,,,P,1,9999,1410T,RUE DU CALVAIRE,CALVAIRE,,,,,18,253
236,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,1430P,RUE DES CARRIERES,CARRIERES,,,,,18,27
237,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,S,,,S,,,1440A,RUE DE LA CERISAIE,CERISAIE,,,,,18,28
238,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,1520M,RUE CLUSERET,CLUSERET,,,,,18,42
239,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,1 560 F,AVENUE DE LA CRIOLLA,CRIOLLA,,,,,18,50
240,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,9645U,RUE VICTOR DIEDERICH,DIEDERICH,,,,,18,215
241,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,0100U,RUE ARTHEME GENTEUR,GENTEUR,,,,,18,239
242,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,8570A,IMP SOMMELIERS DE LA GROUE,GROUE,,,,,18,196
243,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,4455C,CHEMIN DES HOCQUETTES,HOCQUETTES,,,,,18,101
244,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,4461J,DOMAINE DES HOCQUETTES,HOCQUETTES,,,,,18,102
245,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,5115V,AVENUE DES LANDES,LANDES,,,,,18,117
246,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,5150H,ALLEE DES LILAS,LILAS,,,,,18,122
247,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,8593A,GARE SURESNES LONGCHAMP,LONGCHAMP,,,,,18,226
248,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,SU07E,RUE DE LA GARE DE LONGCHAMP,LONGCHAMP,,,,,18,84
249,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,6167N,CHEMIN DE LA MOTTE,MOTTE,,,,,18,145
250,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,P,2,70,P,1,53,6660Z,RUE DES NOUVELLES,NOUVELLES,,,,,18,249
251,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,SU16E,ALLEE DES OLIVIERS,OLIVIERS,,,,,18,151
252,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,7125E,PASSAGE DU PANORAMA,PANORAMA,,,,,18,155
253,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,7150G,RUE DU PAS SAINT MAURICE,PAS-SAINT-MAURICE,,,,,18,158
254,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,7185V,ALLEE DE LA PEPINIERE,PEPINIERE,,,,,18,164
255,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,7235Z,RUE DU POINT HAUT,POINT-HAUT,,,,,18,170
256,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,P,58,9998,S,,,7270M,RUE DE LA PROCESSION,PROCESSION,,,,,18,243
257,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,8110A,RUE DES RAGUIDELLES,RAGUIDELLES,,,,,18,180
258,RAGUIDELLE,Périmètre Raguidelles,,,M/RA,6,2 RUE DU DOCTEUR EMILE ROUX,,92150,SURESNES,01 42 04 07 85,BRUMENT,Nathalie,01 42 04 07 85,,9,270,209,Maternelle des Raguidelles,,T,,,T,,,0680Z,RUE DES BONS RAISINS,RAISINS,,,,,18,22
